example_id,claim,gold_label,raw_evidence,gold_evidence,model,condition,model_output,correct,error_type,notes
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",,,,,,,
181634,There is a capital called Mogadishu.,Supported,"[[[210946,218608,""Mogadishu"",0]]]",,,,,,,
204361,The Cretaceous ended.,Supported,"[[[241287,242825,""Cretaceous"",8]],[[241288,242826,""Cretaceous"",8]],[[241288,242827,""Cretaceous"",9]],[[241289,242828,""Cretaceous"",8]],[[241289,242829,""Cretaceous"",9]]]",,,,,,,
105095,Nicholas Brody is a character on Homeland.,Supported,"[[[123414,137856,""Nicholas_Brody"",1]],[[123414,137857,""Nicholas_Brody"",4],[123414,137857,""Carrie_Mathison"",0],[123414,137857,""Carrie_Mathison"",2]]]",,,,,,,
192714,CBS is the network that aired The Millers.,Supported,"[[[225477,230125,""The_Millers"",1]]]",,,,,,,
159706,Edgar Wright is a person.,Supported,"[[[184145,196092,""Edgar_Wright"",0]],[[184145,196093,""Edgar_Wright"",1]],[[184145,196094,""Edgar_Wright"",2]],[[184145,196095,""Edgar_Wright"",5]],[[184145,196096,""Edgar_Wright"",6]],[[184145,196097,""Edgar_Wright"",7]]]",,,,,,,
107786,Ann Richards was professionally involved in politics.,Supported,"[[[126507,140905,""Ann_Richards"",0]],[[126507,140906,""Ann_Richards"",1]],[[126507,140907,""Ann_Richards"",2]]]",,,,,,,
166846,Drake Bell put out an EP.,Supported,"[[[194302,204692,""Drake_Bell"",18]]]",,,,,,,
64721,Aristotle spent time in Athens.,Supported,"[[[81170,92990,""Aristotle"",2]]]",,,,,,,
55658,James VI and I was a major advocate of a single parliament for Scotland and England.,Supported,"[[[72026,83020,""James_VI_and_I"",10]]]",,,,,,,
201090,Marcus Bentley is a broadcaster.,Supported,"[[[236619,239062,""Marcus_Bentley"",0]],[[236620,239063,""Marcus_Bentley"",0]]]",,,,,,,
207543,Mel B released a song on Virgin Records in 2007.,Supported,"[[[245514,246301,""Mel_B"",5]]]",,,,,,,
31963,Shane Black was born in 1961.,Supported,"[[[92176,104951,""Shane_Black"",0]],[[94868,107842,""Shane_Black"",0]],[[96996,110149,""Shane_Black"",0]],[[306640,297263,""Shane_Black"",0]],[[306641,297264,""Shane_Black"",0]]]",,,,,,,
71959,Jennifer Lopez made a single.,Supported,"[[[88649,101279,""Jennifer_Lopez"",4]],[[88663,101293,""Jennifer_Lopez"",4]],[[88663,101294,""Jennifer_Lopez"",7],[88663,101294,""J.Lo_-LRB-album-RRB-"",17]],[[88663,101295,""Jennifer_Lopez"",13],[88663,101295,""Como_Ama_una_Mujer"",12]],[[88663,101296,""Jennifer_Lopez"",14]]]",,,,,,,
173496,Sancho Panza is a character in Don Quixote.,Supported,"[[[200457,209961,""Sancho_Panza"",0]],[[200480,209981,""Sancho_Panza"",0]]]",,,,,,,
40351,Brazzers is a company.,Supported,"[[[56645,66861,""Brazzers"",0]]]",,,,,,,
15307,Tim Roth is an English actor.,Supported,"[[[30724,37349,""Tim_Roth"",0]]]",,,,,,,
184083,Ernest Medina participated in the My Lai Massacre.,Supported,"[[[214290,221372,""Ernest_Medina"",3]]]",,,,,,,
226877,Jenna Jameson worked as a glamor model and a stripper.,Supported,"[[[270524,266550,""Jenna_Jameson"",3]]]",,,,,,,
105310,Jack Falahee is a person who acts.,Supported,"[[[123633,138050,""Jack_Falahee"",0]]]",,,,,,,
221085,A&E is a cable and satellite television network.,Supported,"[[[263235,260964,""A&E_-LRB-TV_channel-RRB-"",0]]]",,,,,,,
71853,L.A. Reid has served as the president of a record label.,Supported,"[[[88547,101161,""L.A._Reid"",1],[88547,101161,""Arista_Records"",1]]]",,,,,,,
185193,Home for the Holidays stars an American actress.,Supported,"[[[215802,222580,""Home_for_the_Holidays_-LRB-1995_film-RRB-"",5],[215802,222580,""Holly_Hunter"",0]]]",,,,,,,
39437,Taran Killam is an American writer.,Supported,"[[[55738,65784,""Taran_Killam"",0]]]",,,,,,,
159944,Christa McAuliffe taught social studies at Concord High School.,Supported,"[[[184391,196288,""Christa_McAuliffe"",4]]]",,,,,,,
26300,Heavy Metal music was developed in the early 1970's.,Supported,"[[[42349,50953,""Heavy_metal_music"",0]]]",,,,,,,
186996,Bermuda Triangle is also known by another name.,Supported,"[[[218184,224536,""Bermuda_Triangle"",0]]]",,,,,,,
145446,Topman has clothing outlets in six Irish cities and towns.,Supported,"[[[168755,182455,""Topman"",1]]]",,,,,,,
68084,Wales' population changed.,Supported,"[[[84694,96909,""Wales"",16]]]",,,,,,,
194904,Stripes had Conrad Dunn featured in it.,Supported,"[[[228481,232658,""Stripes_-LRB-film-RRB-"",1],[228481,232658,""Conrad_Dunn"",1]]]",,,,,,,
223343,2015 was the year when the principal photography of The Disaster Aritst (film) started.,Supported,"[[[266026,263129,""The_Disaster_Artist_-LRB-film-RRB-"",5]]]",,,,,,,
186590,In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,Supported,"[[[217668,224160,""Asylum_Records"",0]]]",,,,,,,
60685,Trollhunters was produced by an animation company.,Supported,"[[[77131,88550,""Trollhunters"",0]]]",,,,,,,
38125,The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,Supported,"[[[54306,64302,""Armenian_Genocide"",0]]]",,,,,,,
201095,There is a British actor name Marcus Bentley.,Supported,"[[[236629,239069,""Marcus_Bentley"",0]]]",,,,,,,
172771,The Beach's director was Danny Boyle.,Supported,"[[[199493,209166,""The_Beach_-LRB-film-RRB-"",0]]]",,,,,,,
128229,Advertising is an sound-based manner of marketing communication.,Supported,"[[[150237,165164,""Advertising"",0]]]",,,,,,,
166848,Drake Bell put out an extended play in 2011.,Supported,"[[[194316,204706,""Drake_Bell"",18],[194316,204706,""A_Reminder"",0]]]",,,,,,,
63038,Caroline Kennedy is American.,Supported,"[[[79457,91179,""Caroline_Kennedy"",0]]]",,,,,,,
47911,The Mod Squad is a series that fits into the genre of crime drama.,Supported,"[[[64286,75032,""The_Mod_Squad"",0]]]",,,,,,,
130717,The Dark Tower is a fantasy film.,Supported,"[[[152988,167749,""The_Dark_Tower_-LRB-2017_film-RRB-"",0]]]",,,,,,,
24684,Arizona is a state in the United States.,Supported,"[[[40628,48858,""Arizona"",0]]]",,,,,,,
170949,Smriti Mandhana is an Indian cricketer born in July.,Supported,"[[[197250,207330,""Smriti_Mandhana"",0]],[[197283,207360,""Smriti_Mandhana"",0]]]",,,,,,,
44327,Emma Watson was born.,Supported,"[[[60722,71207,""Emma_Watson"",0]],[[60722,71208,""Emma_Watson"",1]]]",,,,,,,
179042,Congressional Space Medal of Honor is the highest award given only to astronauts by NASA.,Supported,"[[[207706,215921,""Congressional_Space_Medal_of_Honor"",9],[207706,215921,""Congressional_Space_Medal_of_Honor"",1]]]",,,,,,,
204033,Down With Love is a 2003 comedy film.,Supported,"[[[240857,242458,""Down_with_Love"",0]]]",,,,,,,
93412,Paul Nicholls played Sam Casey in Law & Order: UK.,Supported,"[[[110774,124442,""Paul_Nicholls_-LRB-actor-RRB-"",1]]]",,,,,,,
7208,Colombiana is a French film.,Supported,"[[[24130,29854,""Colombiana"",0]]]",,,,,,,
168529,Rick Yune was on a series that cancelled on December 12.,Supported,"[[[194096,204508,""Rick_Yune"",2]],[[194098,204509,""Rick_Yune"",2]]]",,,,,,,
199410,"Boyhood is about Mason Evans, Jr's childhood.",Supported,"[[[234493,237357,""Boyhood_-LRB-film-RRB-"",1]]]",,,,,,,
111897,Telemundo is a English-language television network.,Refuted,"[[[131371,146144,""Telemundo"",0]],[[131371,146148,""Telemundo"",1]],[[131371,146150,""Telemundo"",4],[131371,146150,""Hispanic_and_Latino_Americans"",0]],[[131371,146151,""Telemundo"",5]]]",,,,,,,
89891,Damon Albarn's debut album was released in 2011.,Refuted,"[[[107201,120581,""Damon_Albarn"",17]]]",,,,,,,
219028,Savages was exclusively a German film.,Refuted,"[[[260471,258880,""Savages_-LRB-2012_film-RRB-"",3]],[[260473,258882,""Savages_-LRB-2012_film-RRB-"",3]]]",,,,,,,
108281,Andrew Kevin Walker is only Chinese.,Refuted,"[[[127089,141573,""Andrew_Kevin_Walker"",0]]]",,,,,,,
54168,Murda Beatz's real name is Marshall Mathers.,Refuted,"[[[70477,81355,""Murda_Beatz"",0]]]",,,,,,,
18708,Charles Manson has been proven innocent of all crimes.,Refuted,"[[[34332,41652,""Charles_Manson"",17]]]",,,,,,,
90809,Sean Penn is only ever a stage actor.,Refuted,"[[[108145,121668,""Sean_Penn"",5]],[[108145,121669,""Sean_Penn"",7]]]",,,,,,,
204443,Brad Wilk helped co-found Rage in 1962.,Refuted,"[[[241397,242933,""Brad_Wilk"",4]]]",,,,,,,
140764,Janet Leigh was incapable of writing.,Refuted,"[[[291669,284579,""Janet_Leigh"",0]],[[291669,284580,""Janet_Leigh"",12]],[[293770,286206,""Janet_Leigh"",0]],[[293770,286207,""Janet_Leigh"",12]],[[293772,286208,""Janet_Leigh"",0]],[[293774,286210,""Janet_Leigh"",0]],[[338247,323476,""Janet_Leigh"",0]]]",,,,,,,
187000,Bermuda Triangle is in the western part of the Himalayas.,Refuted,"[[[218175,224531,""Bermuda_Triangle"",0]]]",,,,,,,
142454,Advertising is a personal message.,Refuted,"[[[290501,283534,""Advertising"",3]],[[291880,284756,""Advertising"",0]],[[293924,286336,""Advertising"",0]],[[293924,286337,""Advertising"",3]],[[338610,323711,""Advertising"",0]],[[338745,323825,""Advertising"",0]],[[338745,323826,""Advertising"",3]]]",,,,,,,
147411,Hot Right Now is mistakenly attributed to DJ Fresh.,Refuted,"[[[170950,184494,""Hot_Right_Now"",0]]]",,,,,,,
227362,Giada at Home was only available on DVD.,Refuted,"[[[271152,267092,""Giada_at_Home"",1],[271152,267092,""Food_Network"",0]]]",,,,,,,
145512,"Harold Macmillan was born on February 20, 1894.",Refuted,"[[[168831,182535,""Harold_Macmillan"",0]]]",,,,,,,
124667,David Packouz refused to be an entrepreneur.,Refuted,"[[[146245,161224,""David_Packouz"",0]]]",,,,,,,
52175,Magic Johnson did not play for the Lakers.,Refuted,"[[[68484,79345,""Magic_Johnson"",1]],[[68484,79346,""Magic_Johnson"",3]],[[68484,79347,""Magic_Johnson"",5]]]",,,,,,,
104386,Tenacious D started in 1997.,Refuted,"[[[122679,136986,""Tenacious_D"",0]]]",,,,,,,
129441,Saxony is in Ireland.,Refuted,"[[[151645,166384,""Saxony"",0]]]",,,,,,,
132134,Noah Cyrus is a younger sister of Macy Grey.,Refuted,"[[[154544,169259,""Noah_Cyrus"",4]]]",,,,,,,
