claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,evidence_sentences_json,evidence_pages_json,evidence_set_size,evidence_set_id,raw_evidence,model,condition,model_output,correct,error_type,notes
529,"Musala is 2,525 meters.",Refuted,529,"Musala is 2,525 meters.",Refuted,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15968,19851,""Musala"",0]]]",gpt-5.4,claim_only,Supported,No,refuted_to_supported,
529,"Musala is 2,525 meters.",Refuted,529,"Musala is 2,525 meters.",Refuted,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15968,19851,""Musala"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
529,"Musala is 2,525 meters.",Refuted,529,"Musala is 2,525 meters.",Refuted,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15968,19851,""Musala"",0]]]",gpt-5.4-mini,claim_only,Supported,No,refuted_to_supported,
529,"Musala is 2,525 meters.",Refuted,529,"Musala is 2,525 meters.",Refuted,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15968,19851,""Musala"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
607,Cher was united in marriage to Sonny Bono.,Supported,607,Cher was united in marriage to Sonny Bono.,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .","[""Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .""]","[""Sonny_Bono""]",1,fever_set_cec04478d48c,"[[[16042,19917,""Sonny_Bono"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
607,Cher was united in marriage to Sonny Bono.,Supported,607,Cher was united in marriage to Sonny Bono.,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .","[""Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .""]","[""Sonny_Bono""]",1,fever_set_cec04478d48c,"[[[16042,19917,""Sonny_Bono"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
607,Cher was united in marriage to Sonny Bono.,Supported,607,Cher was united in marriage to Sonny Bono.,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .","[""Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .""]","[""Sonny_Bono""]",1,fever_set_cec04478d48c,"[[[16042,19917,""Sonny_Bono"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
607,Cher was united in marriage to Sonny Bono.,Supported,607,Cher was united in marriage to Sonny Bono.,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .","[""Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .""]","[""Sonny_Bono""]",1,fever_set_cec04478d48c,"[[[16042,19917,""Sonny_Bono"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
786,Shawn Carlson is American.,Supported,786,Shawn Carlson is American.,Supported,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .","[""Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .""]","[""Shawn_Carlson""]",1,fever_set_8c5268188882,"[[[16281,20178,""Shawn_Carlson"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
786,Shawn Carlson is American.,Supported,786,Shawn Carlson is American.,Supported,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .","[""Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .""]","[""Shawn_Carlson""]",1,fever_set_8c5268188882,"[[[16281,20178,""Shawn_Carlson"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
