claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
139994,Scandal is from the 1950's.,Refuted,"[[[162958,177183,""Scandal_-LRB-American_band-RRB-"",0]]]",,139994,Scandal is from the 1950's.,Refuted,,,,,,
72194,Mellila is a city.,Supported,"[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",,72194,Mellila is a city.,Supported,,,,,,
86133,Rabies is a disease.,Supported,"[[[103304,116677,""Rabies"",0]],[[103304,116678,""Rabies"",4]],[[103304,116679,""Rabies"",12]],[[103304,116680,""Rabies"",16]],[[103304,116681,""Rabies"",22]],[[103304,116682,""Rabies"",34]]]",,86133,Rabies is a disease.,Supported,,,,,,
60162,Stephenie Meyer created Edward Cullen.,Supported,"[[[76591,87892,""Edward_Cullen"",0]]]",,60162,Stephenie Meyer created Edward Cullen.,Supported,,,,,,
115386,Motion is good for heart health.,Supported,"[[[135439,150322,""Heart"",15]]]",,115386,Motion is good for heart health.,Supported,,,,,,
21853,Harold Macmillan worked in politics.,Supported,"[[[15227,18969,""Harold_Macmillan"",0]],[[15227,18970,""Harold_Macmillan"",1],[15227,18970,""Supermac_-LRB-cartoon-RRB-"",4]],[[15227,18971,""Harold_Macmillan"",7]],[[15227,18972,""Harold_Macmillan"",8]],[[15227,18973,""Harold_Macmillan"",11]],[[15227,18974,""Harold_Macmillan"",12]],[[15227,18975,""Harold_Macmillan"",15]],[[15227,18976,""Harold_Macmillan"",31]],[[15227,18977,""Harold_Macmillan"",27]],[[15227,18978,""Harold_Macmillan"",26]],[[15227,18979,""Harold_Macmillan"",18],[15227,18979,""United_Kingdom_general_election,_1959"",1]],[[19650,24146,""Harold_Macmillan"",0]],[[19650,24147,""Harold_Macmillan"",7]],[[19650,24148,""Harold_Macmillan"",8]],[[19650,24149,""Harold_Macmillan"",11]],[[19650,24150,""Harold_Macmillan"",12]],[[19650,24151,""Harold_Macmillan"",26]],[[19650,24152,""Harold_Macmillan"",31]],[[24311,30047,""Harold_Macmillan"",0]],[[24311,30048,""Harold_Macmillan"",1],[24311,30048,""Supermac_-LRB-cartoon-RRB-"",4]],[[24311,30049,""Harold_Macmillan"",7]],[[24311,30050,""Harold_Macmillan"",8]],[[24311,30051,""Harold_Macmillan"",11]],[[24311,30052,""Harold_Macmillan"",12]],[[24311,30053,""Harold_Macmillan"",15]],[[24311,30054,""Harold_Macmillan"",21]],[[24311,30055,""Harold_Macmillan"",22]],[[24311,30056,""Harold_Macmillan"",23]],[[24311,30057,""Harold_Macmillan"",27]],[[24311,30058,""Harold_Macmillan"",26]],[[24311,30059,""Harold_Macmillan"",31]],[[299420,290801,""Harold_Macmillan"",0]],[[299420,290802,""Harold_Macmillan"",7]],[[299420,290803,""Harold_Macmillan"",8]],[[299420,290804,""Harold_Macmillan"",11]],[[299420,290805,""Harold_Macmillan"",12]],[[299420,290806,""Harold_Macmillan"",27]],[[299420,290807,""Harold_Macmillan"",31]]]",,21853,Harold Macmillan worked in politics.,Supported,,,,,,
62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,"[[[203249,212317,""Trevor_Griffiths"",0]],[[315451,304682,""Trevor_Griffiths"",0]],[[316598,305755,""Trevor_Griffiths"",0]],[[318435,307363,""Trevor_Griffiths"",0]]]",,62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,,,,,,
189874,Augutus Prew's mother was a clothing designer.,Supported,"[[[221803,227357,""Augustus_Prew"",5]]]",,189874,Augutus Prew's mother was a clothing designer.,Supported,,,,,,
64966,Camp Flog Gnaw is a convention.,Refuted,"[[[81478,93237,""Camp_Flog_Gnaw"",0]]]",,64966,Camp Flog Gnaw is a convention.,Refuted,,,,,,
148755,Humphrey Bogart received an award nomination.,Supported,"[[[172411,185719,""Humphrey_Bogart"",17]]]",,148755,Humphrey Bogart received an award nomination.,Supported,,,,,,
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,"[[[142840,157977,""Billboard_Dad"",0]]]",,121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,,,,,,
36829,Highway to Heaven is a Korean television series.,Refuted,"[[[53012,62953,""Highway_to_Heaven"",0]]]",,36829,Highway to Heaven is a Korean television series.,Refuted,,,,,,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,"[[[194756,205124,""Manmohan_Singh"",0]]]",,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,,,,,,
6539,Jack Falahee's birth year is 1989.,Supported,"[[[23298,28712,""Jack_Falahee"",0]]]",,6539,Jack Falahee's birth year is 1989.,Supported,,,,,,
