example_id,claim,gold_label,raw_evidence,gold_evidence,resolver_note
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]","Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .",
181634,There is a capital called Mogadishu.,Supported,"[[[210946,218608,""Mogadishu"",0]]]","Mogadishu -LRB- -LSB- ˌmɔːɡəˈdiːʃuː -RSB- Muqdisho -LSB- mʉqdɪʃɔ -RSB- ; مقديشو -LSB- maqadiːʃuː -RSB- -RRB- , known locally as Hamar , is the capital and most populous city of Somalia .",
204361,The Cretaceous ended.,Supported,"[[[241287,242825,""Cretaceous"",8]],[[241288,242826,""Cretaceous"",8]],[[241288,242827,""Cretaceous"",9]],[[241289,242828,""Cretaceous"",8]],[[241289,242829,""Cretaceous"",9]]]","The Cretaceous ended with a large mass extinction , the Cretaceous -- Paleogene extinction event , in which many groups , including non-avian dinosaurs , pterosaurs and large marine reptiles died out .",
105095,Nicholas Brody is a character on Homeland.,Supported,"[[[123414,137856,""Nicholas_Brody"",1]],[[123414,137857,""Nicholas_Brody"",4],[123414,137857,""Carrie_Mathison"",0],[123414,137857,""Carrie_Mathison"",2]]]","Nicholas `` Nick '' Brody , played by actor Damian Lewis , is a fictional character on the American television series Homeland on Showtime , created by Alex Gansa and Howard Gordon .",
192714,CBS is the network that aired The Millers.,Supported,"[[[225477,230125,""The_Millers"",1]]]","The multi-camera series aired from October 3 , 2013 to July 18 , 2015 and ran 34 episodes over two seasons on CBS .",
159706,Edgar Wright is a person.,Supported,"[[[184145,196092,""Edgar_Wright"",0]],[[184145,196093,""Edgar_Wright"",1]],[[184145,196094,""Edgar_Wright"",2]],[[184145,196095,""Edgar_Wright"",5]],[[184145,196096,""Edgar_Wright"",6]],[[184145,196097,""Edgar_Wright"",7]]]","Edgar Howard Wright -LRB- born 18 April 1974 -RRB- is an English director , screenwriter , producer , and actor .",
107786,Ann Richards was professionally involved in politics.,Supported,"[[[126507,140905,""Ann_Richards"",0]],[[126507,140906,""Ann_Richards"",1]],[[126507,140907,""Ann_Richards"",2]]]","Dorothy Ann Willis Richards -LRB- September 1 , 1933 -- September 13 , 2006 -RRB- was an American politician and the 45th Governor of Texas from 1991 to 1995 .",
166846,Drake Bell put out an EP.,Supported,"[[[194302,204692,""Drake_Bell"",18]]]",Bell released an EP in 2011 called A Reminder independently .,
64721,Aristotle spent time in Athens.,Supported,"[[[81170,92990,""Aristotle"",2]]]","At seventeen or eighteen years of age , he joined Plato 's Academy in Athens and remained there until the age of thirty-seven -LRB- c. 347 BC -RRB- .",
55658,James VI and I was a major advocate of a single parliament for Scotland and England.,Supported,"[[[72026,83020,""James_VI_and_I"",10]]]",He was a major advocate of a single parliament for England and Scotland .,
