example_id,claim,gold_label,gold_evidence,raw_evidence,model,condition,model_output,correct,error_type,notes
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .","[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",GPT-4.1,claim_only,,,,
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .","[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",GPT-4.1,claim_plus_evidence,,,,
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .","[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",GPT-4.1 mini,claim_only,,,,
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures .","[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",GPT-4.1 mini,claim_plus_evidence,,,,
181634,There is a capital called Mogadishu.,Supported,"Mogadishu -LRB- -LSB- ˌmɔːɡəˈdiːʃuː -RSB- Muqdisho -LSB- mʉqdɪʃɔ -RSB- ; مقديشو -LSB- maqadiːʃuː -RSB- -RRB- , known locally as Hamar , is the capital and most populous city of Somalia .","[[[210946,218608,""Mogadishu"",0]]]",GPT-4.1,claim_only,,,,
181634,There is a capital called Mogadishu.,Supported,"Mogadishu -LRB- -LSB- ˌmɔːɡəˈdiːʃuː -RSB- Muqdisho -LSB- mʉqdɪʃɔ -RSB- ; مقديشو -LSB- maqadiːʃuː -RSB- -RRB- , known locally as Hamar , is the capital and most populous city of Somalia .","[[[210946,218608,""Mogadishu"",0]]]",GPT-4.1,claim_plus_evidence,,,,
181634,There is a capital called Mogadishu.,Supported,"Mogadishu -LRB- -LSB- ˌmɔːɡəˈdiːʃuː -RSB- Muqdisho -LSB- mʉqdɪʃɔ -RSB- ; مقديشو -LSB- maqadiːʃuː -RSB- -RRB- , known locally as Hamar , is the capital and most populous city of Somalia .","[[[210946,218608,""Mogadishu"",0]]]",GPT-4.1 mini,claim_only,,,,
181634,There is a capital called Mogadishu.,Supported,"Mogadishu -LRB- -LSB- ˌmɔːɡəˈdiːʃuː -RSB- Muqdisho -LSB- mʉqdɪʃɔ -RSB- ; مقديشو -LSB- maqadiːʃuː -RSB- -RRB- , known locally as Hamar , is the capital and most populous city of Somalia .","[[[210946,218608,""Mogadishu"",0]]]",GPT-4.1 mini,claim_plus_evidence,,,,
204361,The Cretaceous ended.,Supported,"The Cretaceous ended with a large mass extinction , the Cretaceous -- Paleogene extinction event , in which many groups , including non-avian dinosaurs , pterosaurs and large marine reptiles died out .","[[[241287,242825,""Cretaceous"",8]],[[241288,242826,""Cretaceous"",8]],[[241288,242827,""Cretaceous"",9]],[[241289,242828,""Cretaceous"",8]],[[241289,242829,""Cretaceous"",9]]]",GPT-4.1,claim_only,,,,
204361,The Cretaceous ended.,Supported,"The Cretaceous ended with a large mass extinction , the Cretaceous -- Paleogene extinction event , in which many groups , including non-avian dinosaurs , pterosaurs and large marine reptiles died out .","[[[241287,242825,""Cretaceous"",8]],[[241288,242826,""Cretaceous"",8]],[[241288,242827,""Cretaceous"",9]],[[241289,242828,""Cretaceous"",8]],[[241289,242829,""Cretaceous"",9]]]",GPT-4.1,claim_plus_evidence,,,,
