claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,raw_evidence,model,condition,model_output,correct,error_type,notes
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
2405,Derek Hough starred in Make Your Move.,Supported,2405,Derek Hough starred in Make Your Move.,Supported,"In 2013 , he starred in Make Your Move , a Romeo and Juliet-inspired South Korean-American independent dance film .","[[[18216,22382,""Derek_Hough"",6]]]",gpt-5.4,claim_only,Supported,Yes,,
2405,Derek Hough starred in Make Your Move.,Supported,2405,Derek Hough starred in Make Your Move.,Supported,"In 2013 , he starred in Make Your Move , a Romeo and Juliet-inspired South Korean-American independent dance film .","[[[18216,22382,""Derek_Hough"",6]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
2405,Derek Hough starred in Make Your Move.,Supported,2405,Derek Hough starred in Make Your Move.,Supported,"In 2013 , he starred in Make Your Move , a Romeo and Juliet-inspired South Korean-American independent dance film .","[[[18216,22382,""Derek_Hough"",6]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
2405,Derek Hough starred in Make Your Move.,Supported,2405,Derek Hough starred in Make Your Move.,Supported,"In 2013 , he starred in Make Your Move , a Romeo and Juliet-inspired South Korean-American independent dance film .","[[[18216,22382,""Derek_Hough"",6]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
2938,Legendary Entertainment is an independent company.,Refuted,2938,Legendary Entertainment is an independent company.,Refuted,"Since 2016 , Legendary has been a subsidiary of the Chinese conglomerate Wanda Group .","[[[20280,24821,""Legendary_Entertainment"",2]]]",gpt-5.4,claim_only,Refuted,Yes,,
2938,Legendary Entertainment is an independent company.,Refuted,2938,Legendary Entertainment is an independent company.,Refuted,"Since 2016 , Legendary has been a subsidiary of the Chinese conglomerate Wanda Group .","[[[20280,24821,""Legendary_Entertainment"",2]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
