claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
225250,Danielle Cormack was born on December 31.,Refuted,"[[[268415,265001,""Danielle_Cormack"",0]]]",,225250,Danielle Cormack was born on December 31.,Refuted,,,,,,
72194,Mellila is a city.,Supported,"[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",,72194,Mellila is a city.,Supported,,,,,,
54761,A.J. Styles is a German DJ.,Refuted,"[[[71128,82067,""A.J._Styles"",0]]]",,54761,A.J. Styles is a German DJ.,Refuted,,,,,,
124189,"On May 19, 1945, Ian Gillan was born.",Refuted,"[[[145718,160723,""Ian_Gillan"",0]]]",,124189,"On May 19, 1945, Ian Gillan was born.",Refuted,,,,,,
86914,Gin is a berry flavoured spirit.,Supported,"[[[104053,117553,""Gin"",0]]]",,86914,Gin is a berry flavoured spirit.,Supported,,,,,,
128837,Quay premiered in 2001.,Refuted,"[[[150890,165737,""Quay_-LRB-film-RRB-"",1]],[[150897,165743,""Quay_-LRB-film-RRB-"",1]]]",,128837,Quay premiered in 2001.,Refuted,,,,,,
168924,The Boeing 767 is used for only local flights.,Refuted,"[[[194655,205042,""Boeing_767"",19]]]",,168924,The Boeing 767 is used for only local flights.,Refuted,,,,,,
209093,Stadium Arcadium was released in or before 1997.,Refuted,"[[[247519,247808,""Stadium_Arcadium"",1]]]",,209093,Stadium Arcadium was released in or before 1997.,Refuted,,,,,,
92586,Firefox is one of the most popular web browsers.,Supported,"[[[109907,123515,""Firefox"",15]],[[109907,123516,""Firefox"",14]],[[109907,123517,""Firefox"",13]],[[109907,123518,""Firefox"",11]]]",,92586,Firefox is one of the most popular web browsers.,Supported,,,,,,
128584,Natasha Lyonne is also known as Natasha Rebecca Lyonne Renner.,Refuted,"[[[150605,165472,""Natasha_Lyonne"",0]]]",,128584,Natasha Lyonne is also known as Natasha Rebecca Lyonne Renner.,Refuted,,,,,,
167448,Cadet Kelly failed to be released.,Refuted,"[[[192722,203426,""Cadet_Kelly"",0]]]",,167448,Cadet Kelly failed to be released.,Refuted,,,,,,
