claim_id,claim,true_label,predicted_label,model,gold_evidence,raw_model_output,taxonomy_label,taxonomy_notes
194344,Happiness in Slavery is a song by an American band.,Refuted,Supported,gpt-5.4,"`` Happiness in Slavery '' is a song by American industrial rock band Nine Inch Nails from their debut extended play -LRB- EP -RRB- , Broken -LRB- 1992 -RRB- . Broken is the debut extended play -LRB- EP -RRB- and major-label debut by American industrial rock band Nine Inch Nails , released on September 22 , 1992 by Nothing Records , TVT Records , Interscope Records , and Atlantic Records .",,,
194344,Happiness in Slavery is a song by an American band.,Refuted,Supported,gpt-5.4-mini,"`` Happiness in Slavery '' is a song by American industrial rock band Nine Inch Nails from their debut extended play -LRB- EP -RRB- , Broken -LRB- 1992 -RRB- . Broken is the debut extended play -LRB- EP -RRB- and major-label debut by American industrial rock band Nine Inch Nails , released on September 22 , 1992 by Nothing Records , TVT Records , Interscope Records , and Atlantic Records .",,,
14430,Pocahontas was the daughter of the paramount chief of Wahunsenacah.,Refuted,Supported,gpt-5.4,"Pocahontas was the daughter of Powhatan , the paramount chief of a network of tributary tribal nations in the Tsenacommacah , encompassing the Tidewater region of Virginia .",,,
14430,Pocahontas was the daughter of the paramount chief of Wahunsenacah.,Refuted,Supported,gpt-5.4-mini,"Pocahontas was the daughter of Powhatan , the paramount chief of a network of tributary tribal nations in the Tsenacommacah , encompassing the Tidewater region of Virginia .",,,
169984,The Brat Pack is a nickname given to a group of young actors.,Refuted,Supported,gpt-5.4,The Brat Pack is a nickname given to a group of young actors who frequently appeared together in teen-oriented coming-of-age films in the 1980s .,,,
169984,The Brat Pack is a nickname given to a group of young actors.,Refuted,Supported,gpt-5.4-mini,The Brat Pack is a nickname given to a group of young actors who frequently appeared together in teen-oriented coming-of-age films in the 1980s .,,,
220949,Yugoslavia was part of the Group of 15.,Supported,Refuted,gpt-5.4,"It was established at the Ninth Non-Aligned Movement Summit Meeting in Belgrade , Yugoslavia , in September 1989 , and is composed of countries from Latin America , Africa , and Asia with a common goal of enhanced growth and prosperity .",,,
220949,Yugoslavia was part of the Group of 15.,Supported,Refuted,gpt-5.4-mini,"It was established at the Ninth Non-Aligned Movement Summit Meeting in Belgrade , Yugoslavia , in September 1989 , and is composed of countries from Latin America , Africa , and Asia with a common goal of enhanced growth and prosperity .",,,
28656,One of the founders of San Diego Comic-Con was not Richard Alf.,Refuted,Supported,gpt-5.4,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf , Richard Alf , Ken Krueger and Mike Towry ; later , it was called the `` San Diego Comic Book Convention '' .",,,
28656,One of the founders of San Diego Comic-Con was not Richard Alf.,Refuted,Supported,gpt-5.4-mini,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf , Richard Alf , Ken Krueger and Mike Towry ; later , it was called the `` San Diego Comic Book Convention '' .",,,
120190,The Armenian Genocide was the extermination of Armenians who were mostly Turkish citizens.,Refuted,Supported,gpt-5.4,"The Armenian Genocide -LRB- Հայոց ցեղասպանություն , Hayots tseghaspanutyun -RRB- , also known as the Armenian Holocaust , was the Ottoman government 's systematic extermination of 1.5 million Armenians , mostly Ottoman citizens within the Ottoman Empire and its successor state , the Republic of Turkey .",,,
120190,The Armenian Genocide was the extermination of Armenians who were mostly Turkish citizens.,Refuted,Supported,gpt-5.4-mini,"The Armenian Genocide -LRB- Հայոց ցեղասպանություն , Hayots tseghaspanutyun -RRB- , also known as the Armenian Holocaust , was the Ottoman government 's systematic extermination of 1.5 million Armenians , mostly Ottoman citizens within the Ottoman Empire and its successor state , the Republic of Turkey .",,,
48810,Clueless (film) was followed by a series of young adult organizations.,Refuted,Supported,gpt-5.4-mini,"The film was followed by a spin-off television sitcom and series of books . The Clueless series is a series of young adult novels , mainly written by H. B. Gilmour and Randi Reisfeld .",,,
43475,Gotham premiered on USA.,Supported,Refuted,gpt-5.4,"Gotham premiered on Fox on September 22 , 2014 . The network is headquartered at the 20th Century Fox studio lot on Pico Boulevard in the Century City section of Los Angeles , with additional major offices and production facilities at the Fox Television Center in nearby West Los Angeles and the Fox Broadcasting Center in the Yorkville neighborhood of Manhattan , New York City .",,,
43475,Gotham premiered on USA.,Supported,Refuted,gpt-5.4-mini,"Gotham premiered on Fox on September 22 , 2014 . The network is headquartered at the 20th Century Fox studio lot on Pico Boulevard in the Century City section of Los Angeles , with additional major offices and production facilities at the Fox Television Center in nearby West Los Angeles and the Fox Broadcasting Center in the Yorkville neighborhood of Manhattan , New York City .",,,
199418,Boyhood was carved from 2002 to 2013.,Refuted,Supported,gpt-5.4-mini,"Filmed from 2002 to 2013 , Boyhood depicts the childhood and adolescence of Mason Evans , Jr. -LRB- Coltrane -RRB- from ages six to eighteen as he grows up in Texas with divorced parents -LRB- Arquette and Hawke -RRB- .",,,
165865,Buffy Summers has been portrayed by Kristy Swanson.,Refuted,Supported,gpt-5.4,"Buffy was portrayed by Kristy Swanson in the film , and later by Sarah Michelle Gellar in the television series .",,,
165865,Buffy Summers has been portrayed by Kristy Swanson.,Refuted,Supported,gpt-5.4-mini,"Buffy was portrayed by Kristy Swanson in the film , and later by Sarah Michelle Gellar in the television series .",,,
88941,Michelin Guides have been the definitive restaurant guide for more than a century.,Supported,Refuted,gpt-5.4,Michelin Guides -LRB- -LSB- ɡid miʃ.lɛ̃ -RSB- -RRB- are a series of guide books published by the French company Michelin for more than a century .,,,
212217,Gory Guerrero's full name is Salvador Guerrero.,Refuted,Supported,gpt-5.4,"Salvador Guerrero Quesada -LRB- January 11 , 1921 -- April 18 , 1990 -RRB- , better known as Gory Guerrero , was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of Mexico .",,,
212217,Gory Guerrero's full name is Salvador Guerrero.,Refuted,Supported,gpt-5.4-mini,"Salvador Guerrero Quesada -LRB- January 11 , 1921 -- April 18 , 1990 -RRB- , better known as Gory Guerrero , was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of Mexico .",,,
120873,Shomu Mukherjee died at the age of 61.,Refuted,Supported,gpt-5.4-mini,"Shomu Mukherjee -LRB- or Shomu Mukherji -RRB- -LRB- 19 June , 1943 -- 10 April 2008 -RRB- was a Bengali Indian director , writer and producer .",,,
