example_id,claim,gold_label,raw_evidence,gold_evidence,model,condition,model_output,correct,error_type,notes
137334,Fox 2000 Pictures released the film Soul Food.,Supported,"[[[289914,283015,""Soul_Food_-LRB-film-RRB-"",0]],[[291259,284217,""Soul_Food_-LRB-film-RRB-"",0]],[[293412,285960,""Soul_Food_-LRB-film-RRB-"",0]],[[337212,322620,""Soul_Food_-LRB-film-RRB-"",0]],[[337214,322622,""Soul_Food_-LRB-film-RRB-"",0]]]",,,,,,,
181634,There is a capital called Mogadishu.,Supported,"[[[210946,218608,""Mogadishu"",0]]]",,,,,,,
204361,The Cretaceous ended.,Supported,"[[[241287,242825,""Cretaceous"",8]],[[241288,242826,""Cretaceous"",8]],[[241288,242827,""Cretaceous"",9]],[[241289,242828,""Cretaceous"",8]],[[241289,242829,""Cretaceous"",9]]]",,,,,,,
105095,Nicholas Brody is a character on Homeland.,Supported,"[[[123414,137856,""Nicholas_Brody"",1]],[[123414,137857,""Nicholas_Brody"",4],[123414,137857,""Carrie_Mathison"",0],[123414,137857,""Carrie_Mathison"",2]]]",,,,,,,
192714,CBS is the network that aired The Millers.,Supported,"[[[225477,230125,""The_Millers"",1]]]",,,,,,,
111897,Telemundo is a English-language television network.,Refuted,"[[[131371,146144,""Telemundo"",0]],[[131371,146148,""Telemundo"",1]],[[131371,146150,""Telemundo"",4],[131371,146150,""Hispanic_and_Latino_Americans"",0]],[[131371,146151,""Telemundo"",5]]]",,,,,,,
89891,Damon Albarn's debut album was released in 2011.,Refuted,"[[[107201,120581,""Damon_Albarn"",17]]]",,,,,,,
219028,Savages was exclusively a German film.,Refuted,"[[[260471,258880,""Savages_-LRB-2012_film-RRB-"",3]],[[260473,258882,""Savages_-LRB-2012_film-RRB-"",3]]]",,,,,,,
108281,Andrew Kevin Walker is only Chinese.,Refuted,"[[[127089,141573,""Andrew_Kevin_Walker"",0]]]",,,,,,,
54168,Murda Beatz's real name is Marshall Mathers.,Refuted,"[[[70477,81355,""Murda_Beatz"",0]]]",,,,,,,
