claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,raw_evidence,model,condition,model_output,correct,error_type,notes
139994,Scandal is from the 1950's.,Refuted,139994,Scandal is from the 1950's.,Refuted,Scandal is an American rock band from the 1980s fronted by Patty Smyth .,"[[[162958,177183,""Scandal_-LRB-American_band-RRB-"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
139994,Scandal is from the 1950's.,Refuted,139994,Scandal is from the 1950's.,Refuted,Scandal is an American rock band from the 1980s fronted by Patty Smyth .,"[[[162958,177183,""Scandal_-LRB-American_band-RRB-"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
139994,Scandal is from the 1950's.,Refuted,139994,Scandal is from the 1950's.,Refuted,Scandal is an American rock band from the 1980s fronted by Patty Smyth .,"[[[162958,177183,""Scandal_-LRB-American_band-RRB-"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
139994,Scandal is from the 1950's.,Refuted,139994,Scandal is from the 1950's.,Refuted,Scandal is an American rock band from the 1980s fronted by Patty Smyth .,"[[[162958,177183,""Scandal_-LRB-American_band-RRB-"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
72194,Mellila is a city.,Supported,72194,Mellila is a city.,Supported,"Melilla -LRB- -LSB- məˈliːjə -RSB- ; -LSB- meˈliʎa -RSB- , -LSB- meˈliʝa -RSB- ; Mřič -LSB- , Maliliyyah -RRB- is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 .","[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",gpt-5.4,claim_only,Refuted,No,supported_to_refuted,
72194,Mellila is a city.,Supported,72194,Mellila is a city.,Supported,"Melilla -LRB- -LSB- məˈliːjə -RSB- ; -LSB- meˈliʎa -RSB- , -LSB- meˈliʝa -RSB- ; Mřič -LSB- , Maliliyyah -RRB- is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 .","[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
72194,Mellila is a city.,Supported,72194,Mellila is a city.,Supported,"Melilla -LRB- -LSB- məˈliːjə -RSB- ; -LSB- meˈliʎa -RSB- , -LSB- meˈliʝa -RSB- ; Mřič -LSB- , Maliliyyah -RRB- is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 .","[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
72194,Mellila is a city.,Supported,72194,Mellila is a city.,Supported,"Melilla -LRB- -LSB- məˈliːjə -RSB- ; -LSB- meˈliʎa -RSB- , -LSB- meˈliʝa -RSB- ; Mřič -LSB- , Maliliyyah -RRB- is a Spanish autonomous city located on the north coast of Africa , sharing a border with Morocco with an area of 12.3 km2 .","[[[88878,101508,""Melilla"",0]],[[88878,101509,""Melilla"",1]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
86133,Rabies is a disease.,Supported,86133,Rabies is a disease.,Supported,Rabies is a viral disease that causes inflammation of the brain in humans and other mammals .,"[[[103304,116677,""Rabies"",0]],[[103304,116678,""Rabies"",4]],[[103304,116679,""Rabies"",12]],[[103304,116680,""Rabies"",16]],[[103304,116681,""Rabies"",22]],[[103304,116682,""Rabies"",34]]]",gpt-5.4,claim_only,Supported,Yes,,
86133,Rabies is a disease.,Supported,86133,Rabies is a disease.,Supported,Rabies is a viral disease that causes inflammation of the brain in humans and other mammals .,"[[[103304,116677,""Rabies"",0]],[[103304,116678,""Rabies"",4]],[[103304,116679,""Rabies"",12]],[[103304,116680,""Rabies"",16]],[[103304,116681,""Rabies"",22]],[[103304,116682,""Rabies"",34]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
86133,Rabies is a disease.,Supported,86133,Rabies is a disease.,Supported,Rabies is a viral disease that causes inflammation of the brain in humans and other mammals .,"[[[103304,116677,""Rabies"",0]],[[103304,116678,""Rabies"",4]],[[103304,116679,""Rabies"",12]],[[103304,116680,""Rabies"",16]],[[103304,116681,""Rabies"",22]],[[103304,116682,""Rabies"",34]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
86133,Rabies is a disease.,Supported,86133,Rabies is a disease.,Supported,Rabies is a viral disease that causes inflammation of the brain in humans and other mammals .,"[[[103304,116677,""Rabies"",0]],[[103304,116678,""Rabies"",4]],[[103304,116679,""Rabies"",12]],[[103304,116680,""Rabies"",16]],[[103304,116681,""Rabies"",22]],[[103304,116682,""Rabies"",34]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
60162,Stephenie Meyer created Edward Cullen.,Supported,60162,Stephenie Meyer created Edward Cullen.,Supported,Edward Cullen -LRB- né Edward Anthony Masen -RRB- is a fictional character in Stephenie Meyer 's Twilight series .,"[[[76591,87892,""Edward_Cullen"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
60162,Stephenie Meyer created Edward Cullen.,Supported,60162,Stephenie Meyer created Edward Cullen.,Supported,Edward Cullen -LRB- né Edward Anthony Masen -RRB- is a fictional character in Stephenie Meyer 's Twilight series .,"[[[76591,87892,""Edward_Cullen"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
60162,Stephenie Meyer created Edward Cullen.,Supported,60162,Stephenie Meyer created Edward Cullen.,Supported,Edward Cullen -LRB- né Edward Anthony Masen -RRB- is a fictional character in Stephenie Meyer 's Twilight series .,"[[[76591,87892,""Edward_Cullen"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
