example_id,claim,gold_label,first_evidence_page,first_evidence_sentence_idx
137334,Fox 2000 Pictures released the film Soul Food.,Supported,Soul_Food_-LRB-film-RRB-,0
181634,There is a capital called Mogadishu.,Supported,Mogadishu,0
204361,The Cretaceous ended.,Supported,Cretaceous,8
105095,Nicholas Brody is a character on Homeland.,Supported,Nicholas_Brody,1
192714,CBS is the network that aired The Millers.,Supported,The_Millers,1
159706,Edgar Wright is a person.,Supported,Edgar_Wright,0
107786,Ann Richards was professionally involved in politics.,Supported,Ann_Richards,0
166846,Drake Bell put out an EP.,Supported,Drake_Bell,18
64721,Aristotle spent time in Athens.,Supported,Aristotle,2
55658,James VI and I was a major advocate of a single parliament for Scotland and England.,Supported,James_VI_and_I,10
201090,Marcus Bentley is a broadcaster.,Supported,Marcus_Bentley,0
207543,Mel B released a song on Virgin Records in 2007.,Supported,Mel_B,5
31963,Shane Black was born in 1961.,Supported,Shane_Black,0
71959,Jennifer Lopez made a single.,Supported,Jennifer_Lopez,4
173496,Sancho Panza is a character in Don Quixote.,Supported,Sancho_Panza,0
40351,Brazzers is a company.,Supported,Brazzers,0
15307,Tim Roth is an English actor.,Supported,Tim_Roth,0
184083,Ernest Medina participated in the My Lai Massacre.,Supported,Ernest_Medina,3
226877,Jenna Jameson worked as a glamor model and a stripper.,Supported,Jenna_Jameson,3
105310,Jack Falahee is a person who acts.,Supported,Jack_Falahee,0
221085,A&E is a cable and satellite television network.,Supported,A&E_-LRB-TV_channel-RRB-,0
71853,L.A. Reid has served as the president of a record label.,Supported,L.A._Reid,1
185193,Home for the Holidays stars an American actress.,Supported,Home_for_the_Holidays_-LRB-1995_film-RRB-,5
39437,Taran Killam is an American writer.,Supported,Taran_Killam,0
159944,Christa McAuliffe taught social studies at Concord High School.,Supported,Christa_McAuliffe,4
26300,Heavy Metal music was developed in the early 1970's.,Supported,Heavy_metal_music,0
186996,Bermuda Triangle is also known by another name.,Supported,Bermuda_Triangle,0
145446,Topman has clothing outlets in six Irish cities and towns.,Supported,Topman,1
68084,Wales' population changed.,Supported,Wales,16
194904,Stripes had Conrad Dunn featured in it.,Supported,Stripes_-LRB-film-RRB-,1
223343,2015 was the year when the principal photography of The Disaster Aritst (film) started.,Supported,The_Disaster_Artist_-LRB-film-RRB-,5
186590,In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,Supported,Asylum_Records,0
60685,Trollhunters was produced by an animation company.,Supported,Trollhunters,0
38125,The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,Supported,Armenian_Genocide,0
201095,There is a British actor name Marcus Bentley.,Supported,Marcus_Bentley,0
172771,The Beach's director was Danny Boyle.,Supported,The_Beach_-LRB-film-RRB-,0
128229,Advertising is an sound-based manner of marketing communication.,Supported,Advertising,0
166848,Drake Bell put out an extended play in 2011.,Supported,Drake_Bell,18
63038,Caroline Kennedy is American.,Supported,Caroline_Kennedy,0
47911,The Mod Squad is a series that fits into the genre of crime drama.,Supported,The_Mod_Squad,0
130717,The Dark Tower is a fantasy film.,Supported,The_Dark_Tower_-LRB-2017_film-RRB-,0
24684,Arizona is a state in the United States.,Supported,Arizona,0
170949,Smriti Mandhana is an Indian cricketer born in July.,Supported,Smriti_Mandhana,0
44327,Emma Watson was born.,Supported,Emma_Watson,0
179042,Congressional Space Medal of Honor is the highest award given only to astronauts by NASA.,Supported,Congressional_Space_Medal_of_Honor,9
204033,Down With Love is a 2003 comedy film.,Supported,Down_with_Love,0
93412,Paul Nicholls played Sam Casey in Law & Order: UK.,Supported,Paul_Nicholls_-LRB-actor-RRB-,1
7208,Colombiana is a French film.,Supported,Colombiana,0
168529,Rick Yune was on a series that cancelled on December 12.,Supported,Rick_Yune,2
199410,"Boyhood is about Mason Evans, Jr's childhood.",Supported,Boyhood_-LRB-film-RRB-,1
111897,Telemundo is a English-language television network.,Refuted,Telemundo,0
89891,Damon Albarn's debut album was released in 2011.,Refuted,Damon_Albarn,17
219028,Savages was exclusively a German film.,Refuted,Savages_-LRB-2012_film-RRB-,3
108281,Andrew Kevin Walker is only Chinese.,Refuted,Andrew_Kevin_Walker,0
54168,Murda Beatz's real name is Marshall Mathers.,Refuted,Murda_Beatz,0
18708,Charles Manson has been proven innocent of all crimes.,Refuted,Charles_Manson,17
90809,Sean Penn is only ever a stage actor.,Refuted,Sean_Penn,5
204443,Brad Wilk helped co-found Rage in 1962.,Refuted,Brad_Wilk,4
140764,Janet Leigh was incapable of writing.,Refuted,Janet_Leigh,0
187000,Bermuda Triangle is in the western part of the Himalayas.,Refuted,Bermuda_Triangle,0
142454,Advertising is a personal message.,Refuted,Advertising,3
147411,Hot Right Now is mistakenly attributed to DJ Fresh.,Refuted,Hot_Right_Now,0
227362,Giada at Home was only available on DVD.,Refuted,Giada_at_Home,1
145512,"Harold Macmillan was born on February 20, 1894.",Refuted,Harold_Macmillan,0
124667,David Packouz refused to be an entrepreneur.,Refuted,David_Packouz,0
52175,Magic Johnson did not play for the Lakers.,Refuted,Magic_Johnson,1
104386,Tenacious D started in 1997.,Refuted,Tenacious_D,0
129441,Saxony is in Ireland.,Refuted,Saxony,0
132134,Noah Cyrus is a younger sister of Macy Grey.,Refuted,Noah_Cyrus,4
128123,Mohra is a truck.,Refuted,Mohra,0
86175,Hourglass is performed by a Russian singer-songwriter.,Refuted,Hourglass_-LRB-James_Taylor_album-RRB-,0
41665,"There are not rumors that Augustus' wife, Livia, poisoned him.",Refuted,Augustus,42
21775,Vedam was written and directed by Christopher Nolan.,Refuted,Vedam_-LRB-film-RRB-,0
43608,Magic Johnson was a tap dancer.,Refuted,Magic_Johnson,0
66638,The Adventures of Pluto Nash was reviewed by Ron Underwood.,Refuted,The_Adventures_of_Pluto_Nash,0
26839,Hedda Gabler's world premiere took place at the Battle of Hastings.,Refuted,Hedda_Gabler,1
146231,Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,Refuted,Juventus_F.C.,1
227130,New Orleans Pelicans compete in the National Football Association.,Refuted,New_Orleans_Pelicans,0
134710,Starrcade was an annual professional wrestling event that began in 1988.,Refuted,Starrcade,0
114567,Seohyun is a dog.,Refuted,Seohyun,0
71986,Steve Wozniak was born after the Apple II came out.,Refuted,Steve_Wozniak,5
163980,Veeram is something other than an Indian Tamil film.,Refuted,Veeram_-LRB-2014_film-RRB-,0
34412,Jayasudha is an actor that stars in Daag.,Refuted,Daag_-LRB-1973_film-RRB-,10
150217,"John Dolmayan was born on July 15, 1873.",Refuted,John_Dolmayan,0
202783,Despicable Me 2 was directed by a lake.,Refuted,Despicable_Me_2,1
80205,Reign Over Me was released in 2017.,Refuted,Reign_Over_Me,4
43776,Colin Kaepernick is a poker player.,Refuted,Colin_Kaepernick,0
79538,Sheryl Lee has yet to appear in a film as of 2016.,Refuted,Sheryl_Lee,1
172478,Matteo Renzi is German.,Refuted,Matteo_Renzi,0
60977,The highest point of the Hindu Kush is Everest.,Refuted,Hindu_Kush,5
100584,Same Old Love is disassociated from Selena Gomez.,Refuted,Same_Old_Love,0
32820,The heart beats at a resting rate close to 22 beats per minute.,Refuted,Heart,18
215500,Weekly Idol is hosted by Yoo Jae Suk.,Refuted,Weekly_Idol,1
4713,Tool has won three Oscars.,Refuted,Tool_-LRB-band-RRB-,3
105419,Youtube is not a website.,Refuted,YouTube,0
10328,"Sidse Babett Knudsen graduated on November 22nd, 1968.",Refuted,Sidse_Babett_Knudsen,0
11432,The first inauguration of Bill Clinton made him the 50th President of the United States.,Refuted,First_inauguration_of_Bill_Clinton,0
125513,The dress did not inspire hashtags.,Refuted,The_dress,5
130920,"Bruce Shand was born on September 22nd, 1917.",Refuted,Bruce_Shand,0
