claim_id,claim_text,true_label,model,condition,model_output,gold_evidence,error_type,notes
115386,Motion is good for heart health.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .",supported_to_refuted,
115386,Motion is good for heart health.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .",supported_to_refuted,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,gpt-5.4,claim_plus_evidence,Supported,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,refuted_to_supported,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,refuted_to_supported,
225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,Supported,gpt-5.4,claim_plus_evidence,Refuted,The record topped the UK Albums Chart for seven weeks and America 's Billboard Top LPs list for six weeks .,supported_to_refuted,
25247,The Bee Gees produced music.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"After achieving their first chart success in Australia as the Bee Gees with `` Spicks and Specks '' -LRB- their 12th single -RRB- , they returned to the UK in January 1967 where producer Robert Stigwood began promoting them to a worldwide audience .",supported_to_refuted,
115183,The United States dollar is not exclusively used in the United States.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Since the currency is the most used in international transactions , it is the world 's primary reserve currency .",refuted_to_supported,
115183,The United States dollar is not exclusively used in the United States.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Since the currency is the most used in international transactions , it is the world 's primary reserve currency .",refuted_to_supported,
17054,A near-Earth object is not a large orbiting body.,Refuted,gpt-5.4,claim_plus_evidence,Supported,A near-Earth object -LRB- NEO -RRB- is any small Solar System body whose orbit brings it into proximity with Earth .,refuted_to_supported,
17054,A near-Earth object is not a large orbiting body.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,A near-Earth object -LRB- NEO -RRB- is any small Solar System body whose orbit brings it into proximity with Earth .,refuted_to_supported,
